FIPS,COUNTY,STATE,ADDRESS,DROPBOXES NAME,TIME & INSTRUCTIONS,ObjectId,x,y
13001,Appling,GA,"83 South Oak Street Baxley, GA 31513",Elections Office,On curb outside office so driver doesn't have to get out of car 24/7,1,-82.3449200214441,31.775969994085
13001,Appling,GA,"69 Tippins Street Baxley, GA 31513",Courthouse Annex,"Outside, 24/7",2,-82.3497899916186,31.7777099930827
13003,Atkinson,GA,"636 Austin Avenue E Pearson, GA 31602",Elections Office,Note: This Dropbox may not be open 24/7,3,-82.8428599716271,31.2930600118309
13005,Bacon,GA,"232 W 12th Street Alma, GA 31510",Elections Office,24/7,4,-85.1819720807865,32.8812368754209
13007,Baker,GA,"167 Baker Place Newton, GA 39870",Elections Office,24/7 outside the courthouse,5,-84.3415715630215,31.3168822343346
13009,Baldwin,GA,"1601 N. Columbia, Suite 110 Milledgeville, GA 31061",Elections Office,"Installed outside the new office, 24/7",6,-83.2430400252956,33.0988299907239
13009,Baldwin,GA,"121 N Wilkinson St, Suite 102 Milledgeville, GA 31061",Courthouse,No Information Avaliable,7,-83.2285199705552,33.0816099991088
13011,Banks,GA,"226 Candler Street Homer, GA 30547",Banks Elections office dropoff,"24/7, Candler runs off the main road through Homer, go up the hill and will see the office",8,-83.4975000205592,34.3354300199686
13013,Barrow,GA,"233 E. Broad St Winder, GA 30680","Elections Office, Administration Annex","24/7, outside the office. Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5.",9,-84.2615199670567,33.2501499977304
13015,Bartow,GA,"1300 Joe Frank Harris Pkwy Cartersville, GA 30120",Elections Office,"24/7; Ballots and applications may also be dropped off at this location inside the office, M-F, 8-5",10,-84.8138299701106,34.2061400017314
13015,Bartow,GA,"135 W Cherokee Ave Cartersville, GA 30120",Bartow County Courthouse,24/7,11,-84.7989599712613,34.1657699893566
13015,Bartow,GA,"6503 Glade Rd SE Acworth, GA 30102",Allatoona Resource Center,24/7,12,-84.6804210882143,34.1137299551974
13015,Bartow,GA,"30 Burge's Mill Rd Euharlee, GA 30145",Euharlee City Hall,24/7,13,-84.9367499933922,34.1471300197127
13015,Bartow,GA,"163 Manning Mill Road Adairsville, GA 30103",Manning Hill Gym,24/7,14,-85.1852117713154,34.6380738921338
13017,Ben Hill,GA,"115 W Pine St Fitzgerald, GA 31750",Elections Office,"Can drop off in the Elections office, M-F 9-5 Note: This Dropbox may not be open 24/7",15,-83.2522600000969,31.714970000017
13019,Berrien,GA,"201 N Davis St, Room 142 Nashville, GA 31639",Elections Office,M-F 8-4:30 Can call ahead and someone will come pick up from them or can leave with security officer who will all for someone to come pick up the ballot Note: This Dropbox may not be open 24/7,16,-83.2500458334829,31.2079499129027
13021,Bibb,GA,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206",Elections Office,Inside the office there is a separate box for applications and one for ballots; M-F 8:30-5:30 Note: This Dropbox may not be open 24/7,17,-83.6629697084704,32.8126573339273
13021,Bibb,GA,"2525 Pio Nono Avenue, Suite 1200 Macon, GA 31206",Elections Office,"Outside, 24/7, ballots only",18,-83.6629697084704,32.8126573339273
13021,Bibb,GA,"639 Mulberry Street Macon, GA 31201",Courthouse Annex,24/7. Does accept applications,19,-83.628356323406,32.8383869767087
13023,Bleckley,GA,"112 N Second St Cochran, GA 31014",County Court House,In parking lot near police department - 24/7 Note: This Dropbox may not be open 24/7,20,-83.3553000276631,32.3875600016734
13025,Brantley,GA,"10305 N Main St Ste 400 Nahunta, GA 31553",Elections Office,Drop box is on the door to office. Big orange sign that says ""dropbox."" Built into the door. Drop the ballot through the slot and it goes into the locked box. Available 24/7. Note: This Dropbox may not be open 24/7,21,-81.9799768303596,31.2095061198374
13027,Brooks,GA,"610 S. Highland Rd. Quitman, GA 31643",Elections Office,24/7,22,-83.5521839762315,30.7797629902275
13029,Bryan,GA,"151 S. College St. Pembroke, GA 31321",Pembroke County Courthouse,24/7 (Now open),23,-83.3659573599195,30.989552461121
13029,Bryan,GA,"66 Matthew Freeman Dr. Richmond Hill, GA 31324",Richmond Hill Center at Bryan County Administration Office,24/7 (Now open),24,-81.2601141492698,31.8810096675787
13031,Bulloch,GA,"113 North Main Street, Suite 201 Statesboro, GA 30458",Elections Office (1),"Located in lobby of annex building. These are boxes that they have bolted to a table in the back of the annex building. Available during hours building is open, M-F, 8-5 Note: This Dropbox may not be open 24/7",25,-82.0296100074486,31.6651500025978
13031,Bulloch,GA,"113 North Main Street, Suite 201 Statesboro, GA 30458",Elections Office (2),"Located in parking lot of office, 24/7",26,-82.0296100074486,31.6651500025978
13033,Burke,GA,"602 North Liberty Street, Room 104 Waynesboro, GA 30830",Elections Office,"M-F 9-5 and early voting day Oct 24, 9 - 4 Note: This Dropbox may not be open 24/7",27,-82.0155050246751,33.0905580159943
13035,Butts,GA,"625 West Third Street Jackson, GA 30233",Elections Office,"Outside, just in front of building. 24/7",28,-83.9732199643231,33.2935599999943
13037,Calhoun,GA,"31 Court Street, Suite A Morgan, GA 39866",Courthouse,Located on south side of courthouse wall.,29,-84.5997610246799,31.5376639791567
13039,Camden,GA,"200 E 4th St Woodbine, GA 31569",Elections Office,M-F 8-5 (walk inside office) Note: This Dropbox may not be open 24/7,30,-81.3081999684004,32.3666699938079
13039,Camden,GA,"107 Gross Rd Kingsland, GA 31548",Satellite Office,"M-F 9-5, closed 12:30-1:30 (walk inside office) Note: This Dropbox may not be open 24/7",31,-81.6453802773699,30.7880954353706
13043,Candler,GA,"1075 E Hiawatha Street, Ste A Metter, GA 30439",Elections Office,"M-F, 9-5 Note: This Dropbox may not be open 24/7",32,-82.0383599594387,32.3916800005125
13045,Carroll,GA,"423 College Street, Room 302 Carrollton, GA 30117",Elections Office,Back of the building,33,-84.7969499908131,31.771840020774
13045,Carroll,GA,"42 Community Square Blvd Villa Rica, GA 30180",City Hall,"Located in the drive through lane of the Customer Service Building behind City Hall, 24/7",34,-84.9328000211379,33.7323499910715
13047,Catoosa,GA,"5238 Evitt Street Ringgold, GA 30736",Office Building,"Located outside the office, 24/7",35,-85.1065919946919,34.9154800153846
13049,Charlton,GA,"1520 Third Street, Suite C Folkston, GA 31537",Elections Office,"M-F, 9-5 Note: This Dropbox may not be open 24/7",36,-82.0046300081674,30.8318900041397
13051,Chatham,GA,"1117 Eisenhower Drive, Ste E Savannah, GA 31406",Elections Office,No Information Avaliable,37,-81.0997759832145,32.0054110149462
13051,Chatham,GA,"900 E. Bolton St. Savannah, GA 31401",W.W. Law Center,No Information Avaliable,38,-81.0826088358769,32.0628386779525
13051,Chatham,GA,"54 Johnny Mercer Blvd. Savannah, GA 31410",Whitemarsh Island Chatham Police Precinct,No Information Avaliable,39,-81.00741998314,32.0355170092744
13051,Chatham,GA,"1401 Mills B Lane Blvd. Savannah, GA 31405",Liberty City Community Center,No Information Avaliable,40,-81.1286849997494,32.0508009905152
