Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.84,0.4,0.1,0.18,1.13,1.05,0.27,0.09,0.78,2.08,1.8,3.01,1.07
2012,2.6,2.82,3.5,0.2,4.57,0.6,2.77,1.36,4.7,0.8,0.13,0.25,2.03
2013,2.5,0.35,0.87,2.06,3.92,1.52,1.98,0.61,3.93,5.62,1.87,0.57,2.16
2014,0.14,0.32,1.02,0.81,5.55,1.87,1.26,0.69,3.81,1.3,3.99,0.82,1.8
2015,2.81,0.45,2.58,3.83,10.31,3.62,0.14,0.39,0.78,7.1,2.72,1.55,3.05
2016,0.65,1.12,2.98,4.65,6.23,2.33,1.21,5.98,2.81,0.12,2.83,2.94,2.83
2017,1.92,2.55,1.92,2.24,1.98,1.94,0.72,5.94,2.68,0.78,0.34,2.48,2.12
2018,0.2,2.09,2.07,0.56,2.35,0.81,1.83,1.24,7.75,5.23,0.9,3.01,2.34
2019,1.63,0.44,0.45,3.48,4.13,3.87,0.5,0.45,0.79,2.21,0.96,0.46,1.62
2020,1.88,1.52,2.26,2.49,5.15,1.3,0.75,1.03,3.92,0.21,0.85,1.82,1.93
2021,0.68,1.13,0.85,1.5,6.26,2.81,3.32,2.45,1.98,3.67,1.46,0.47,2.23
