Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,0.16,0.8,0.05,0.9,2.78,0.54,0.09,0.62,1.42,4.56,2.11,1.59,1.31
2012,2.32,0.9,3.21,2.01,1.66,2.22,0.59,1.96,3.14,0.57,0.22,0.58,1.62
2013,0.75,2.07,0.71,2.53,2.5,2.77,3.61,1.17,1.95,1.91,0.75,1.32,1.83
2014,0.04,0.35,1.17,1.56,1.62,3.58,3.77,1.06,1.42,1.43,3.38,0.71,1.68
2015,1.66,1.4,1.99,3.81,14.46,6.92,3.42,0.61,1.12,4.66,5.61,2.72,4.05
2016,0.38,1.36,1.76,6.53,5.09,4.16,1.58,2.4,4.32,2,2.04,0.59,2.67
2017,2.1,2.72,0.95,2.69,3.6,3.01,3.37,4.52,3.11,1.21,0.17,1.24,2.39
2018,0.07,4.78,2.09,1.42,3.33,1.12,1.51,2.68,7.14,7.71,0.28,3.16,2.93
2019,1.45,0.96,1.88,3.8,6.48,3.55,0.57,3.06,2.13,2.13,2.11,0.65,2.41
2020,2.65,2.21,5.22,1.28,4.82,3.65,2.65,1.44,4.43,2.25,0.59,1.78,2.75
2021,0.68,0.38,1.36,4.28,4.29,3.2,2.77,2.76,1,2.23,0.71,0.36,2.01
