Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.59,0.47,0.14,0.45,1.62,0.81,0.17,0.07,0.6,2.47,1.52,2.75,1.06
2012,2.07,2.81,3.56,0.15,4.32,1.25,2.43,1.05,4.24,0.84,0.09,0.23,1.92
2013,2.41,0.59,1.08,1.68,3.43,1.11,2.73,1.03,3.59,4.68,1.86,0.8,2.1
2014,0.07,0.22,0.58,0.85,5.34,2.05,1.26,0.78,3.63,1.53,3.54,0.57,1.7
2015,3.48,0.56,3.23,2.84,10.36,3.8,0.11,0.53,0.75,9.18,3.28,2.17,3.39
2016,0.47,1.31,3.43,6.35,6.6,2.48,0.99,7.9,2,0.28,3.27,2.3,3.12
2017,2.59,2.4,2.37,2.68,2.41,2.15,0.7,8,1.82,1.37,0.46,2.49,2.46
2018,0.27,2.42,2.78,0.82,2.37,1.43,1.55,1.31,6.59,6.64,1.55,4.26,2.67
2019,2.52,0.53,0.6,5.18,5.29,4.44,0.59,0.39,0.85,2.7,0.91,0.65,2.06
2020,1.85,2.26,2.87,3.41,4.43,2.13,0.99,0.86,4.77,0.37,0.75,2.22,2.24
2021,0.85,0.75,0.68,1.84,6.03,3.18,2.98,2.18,1.69,3.68,1.78,0.95,2.23
