Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,0.01,0.64,0.29,0.02,0.1,0.37,0.38,0.76,1.26,1.24,0.22,1.27,0.55
2012,0.04,0.43,0.59,0.73,1.58,1.83,0.68,1.07,2.18,0.36,0.01,0.38,0.82
2013,0.46,0.91,0.11,0.01,0.78,2.07,2.93,0.97,1.13,0.1,0.49,0.29,0.85
2014,0,0.14,0.16,0.23,2.92,3.38,2.81,0.95,3.49,0.68,0.38,0.09,1.27
2015,1.14,0.5,0.33,1.67,6.28,2.45,5.27,2.2,1.16,4.44,0.77,0.61,2.26
2016,0.11,0.17,0.11,1.84,1.49,1.42,1.2,4,1.6,0.13,1.05,0.22,1.11
2017,1.34,0.54,1.56,1.85,0.95,2.02,2.93,6.59,2.35,2.22,0.01,0,1.88
2018,0.01,0.13,0.14,0.6,0.76,1.44,1.97,2.2,1.69,4.15,0.31,0.44,1.16
2019,0.11,0.35,1.31,1.28,3.11,2.43,1.4,1.5,2.1,4.21,0.85,0.6,1.61
2020,0.31,0.31,1.41,0.16,0.43,0.95,2.33,0.9,0.64,0.69,0.29,0.13,0.72
2021,0.34,0.19,0.51,0.09,3.32,2.47,2.96,1.26,0.58,0.7,0,0,1.05
