Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.72,0.4,0.15,0.22,1.06,0.97,0.29,0.06,0.92,2.27,1.77,2.91,1.07
2012,2.33,2.78,3.37,0.16,4.83,0.83,2.58,1.38,4.8,0.92,0.12,0.24,2.03
2013,2.53,0.39,0.87,1.98,4.02,1.56,1.79,0.65,3.8,4.77,1.79,0.57,2.07
2014,0.1,0.3,0.95,0.78,5.39,2,1.07,0.67,3.8,1.45,3.94,0.75,1.77
2015,3.31,0.54,3.8,4.42,10.28,3.72,0.2,0.62,0.85,8.84,2.72,2.09,3.48
2016,0.77,1.46,3.3,6.07,7.13,2.41,1.27,7.26,2.39,0.21,2.53,3.37,3.19
2017,2.49,2.4,3.06,2.47,2.01,2.04,0.63,11.08,2.16,1.21,0.47,2.93,2.76
2018,0.35,2.13,3.27,1.11,2.01,1.43,1.85,1.01,6.73,5.68,1.74,4.15,2.62
2019,2.31,0.51,0.39,4.78,4.85,4.21,0.57,0.4,1.24,2.87,0.99,0.52,1.97
2020,1.69,1.45,2.41,3.13,5.37,1.98,0.91,1.04,3.99,0.23,1.08,2.11,2.12
2021,0.85,0.94,0.51,2.59,6.83,3.18,3.05,2.31,2.22,4.65,1.96,0.9,2.51
