Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.1,0.21,0.04,0.08,0.95,0.93,0.45,0.39,1.06,2.19,1.5,2.21,0.93
2012,1.63,2.15,2.79,0.57,4.96,0.46,2.98,1.49,4.31,0.81,0.24,0.17,1.88
2013,2.03,0.26,0.57,1.8,3.34,2.71,1.17,0.57,3.24,2.87,1.39,0.51,1.71
2014,0.08,0.29,0.8,0.68,5.02,1.9,1.49,1.41,2.34,1.1,2.81,0.67,1.56
2015,1.87,0.43,2.37,4.14,10.12,3.76,0.18,0.32,0.47,4.97,2.77,1,2.72
2016,0.75,1.13,2.22,3.46,6.08,2.05,1.16,5.57,2.76,0.06,1.75,3.69,2.57
2017,1.2,2.05,1.61,1.98,2.49,2.02,0.64,2.86,3.2,0.56,0.26,1.99,1.74
2018,0.22,1.42,1.5,0.57,2.21,0.34,1.88,1.65,9.73,4.7,0.58,1.88,2.22
2019,0.69,0.34,0.33,2.36,2.6,3.81,0.38,0.39,0.71,1.69,0.67,0.24,1.18
2020,1.68,0.79,1.46,1.78,3.91,1.07,0.91,0.63,2.28,0.17,1.15,1.33,1.43
2021,0.51,0.75,0.17,1.38,5.02,2.2,3.13,2.25,1.13,2.01,1.08,0.32,1.67
