Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.02,0.36,0.09,0.3,0.95,0.67,0.41,0.36,1.13,1.99,1.61,2.31,0.94
2012,1.7,2.28,3.08,0.59,4.8,0.78,2.58,1.27,4.32,0.8,0.21,0.15,1.88
2013,2.2,0.25,0.82,1.49,3.49,2.25,1.48,0.78,3.73,3.32,1.73,0.64,1.86
2014,0.05,0.19,0.52,0.75,4.95,2.08,1.17,1.67,2.86,1.28,2.81,0.56,1.58
2015,1.97,0.31,1.97,3.41,10.32,3.65,0.29,0.42,0.42,5.06,2.99,1.26,2.69
2016,0.53,0.99,2.71,4.02,6.38,1.99,0.75,4.66,3.03,0.12,2.47,2.83,2.54
2017,1.36,2.41,1.33,1.94,2.11,2.42,1.06,3.16,2.89,0.5,0.34,1.81,1.77
2018,0.17,1.68,1.01,0.52,2.78,0.52,1.73,1.69,8.56,6.52,0.4,2.33,2.33
2019,0.85,0.35,0.51,2.68,3.65,3.78,0.45,0.77,0.68,1.6,0.91,0.32,1.38
2020,2.02,1.22,2.4,1.85,4.53,1.02,1.01,0.64,3.03,0.23,0.7,1.56,1.69
2021,0.85,1.13,0.51,1.44,5.61,2.61,3.13,2.36,1.49,2.55,1.03,0.25,1.92
