MCH Institution Type,MCH Institution Type Name,Attribute Level,Attribute Type,Attribute Code,Filterable,Attribute Type Description,Attribute Code Description
62,Fire and Ambulance,Institution,Ambulance Services Operated by Hospital,Operated by Hospital,Yes,Indicates that the ambulance service is affiliated with a specific hospital or hospital system.,An Ambulance Service operated by a hospital.
62,Fire and Ambulance,Institution,CBSA Code,CBSA Code,No,The core based statistical area code of the institution.,The core based statistical area code of the institution.
62,Fire and Ambulance,Institution,Geo Precision 1,Approximate,No,Indicates the level of accuracy of the geo code.,The geocode is approximate.
62,Fire and Ambulance,Institution,Geo Precision 1,Geometric Center,No,Indicates the level of accuracy of the geo code.,The geocode is a geometric center based either on a street or region.
62,Fire and Ambulance,Institution,Geo Precision 1,Range Interpolated,No,Indicates the level of accuracy of the geo code.,The geocode reflects an approximation interpolated between two precise points.
62,Fire and Ambulance,Institution,Geo Precision 1,Rooftop,No,Indicates the level of accuracy of the geo code.,The returned geocode is precise down to street address.
62,Fire and Ambulance,Institution,Geo Precision 1,Unknown,No,Indicates the level of accuracy of the geo code.,The geocode is unknown.
62,Fire and Ambulance,Institution,Institution New-to-File Date,Institution New-to-File Date,Yes,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
62,Fire and Ambulance,Institution,Latitude,Latitude,No,"The distance running north or south of the earth's equator, expressed in degrees and minutes.",NULL
62,Fire and Ambulance,Institution,Local Population,Local Population,No,The population of the city or town.,The population of the city or town.
62,Fire and Ambulance,Institution,Location,at Fire Department,Yes,Indicates the location of the Ambulance Services.,An Ambulance Service located at a Fire Department.
62,Fire and Ambulance,Institution,Location,at Hospitals,Yes,Indicates the location of the Ambulance Services.,An Ambulance Service located at a Hospital.
62,Fire and Ambulance,Institution,Location,at Police Department,Yes,Indicates the location of the Ambulance Services.,An Ambulance Service located at a Police Department.
62,Fire and Ambulance,Institution,Location,Free Standing Ambulance Services,Yes,Indicates the location of the Ambulance Services.,"An Ambulance Service that is independent and not associated with other institutions such as a Hospital, Fire Department or Police Department."
62,Fire and Ambulance,Institution,Longitude,Longitude,No,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes.",NULL
62,Fire and Ambulance,Institution,NAICS Code-Primary,Ambulance Services,No,The North American Industry Classification System code.,"Transportation of patients by ground or air, along with medical care."
62,Fire and Ambulance,Institution,NAICS Code-Primary,Fire Protection,No,The North American Industry Classification System code.,Engages in fire fighting and other related fire protection activities.
62,Fire and Ambulance,Institution,Number of Responders,Number of Responders,Yes,The number of responders at a specific emergency service.,The number of responders at a specific emergency service.
