MCH Institution Type,MCH Institution Type Name,Job Function,Job Category,Job Function Description
63,Child Care Centers,Before/After School Director,,Coordinates and oversees programs for school-age children before or after school hours.
63,Child Care Centers,Child Care Director,,Coordinates and oversees a center or program that is primarily focused on custodial care of children.
63,Child Care Centers,Early Childhood Director,,Coordinates and oversees a center or program that provides pre-kindergarten curriculum for young children.
63,Child Care Centers,Early Head Start Director,,Coordinates and oversees an infant and toddler program funded at least in part by federal Early Head Start grants.
63,Child Care Centers,Education Coordinator,,Coordinates educational programs for an early childhood or special needs center.
63,Child Care Centers,Executive Director,,Manages one or more early childhood programs.
63,Child Care Centers,Head of School,,The senior administrator and educator of a private school or preschool.
63,Child Care Centers,Head Start Director,,Coordinates and oversees a preschool program funded at least in part by federal Head Start grants.
63,Child Care Centers,Head Start Teacher,,Provides instruction to children in a Head Start program.
63,Child Care Centers,Owner,,The owner or co-owner of a privately-owned early childhood center.
63,Child Care Centers,Regional Director,,Coordinates the operation of multiple Child Care Centers or early childhood programs.
63,Child Care Centers,Summer Camp Director,,Coordinates and oversees a center or program related to summer camp activities.
63,Child Care Centers,Youth Director,,"Coordinates early childhood or after-school programs, often in a religious setting."
70,Healthcare Ownership,Compliance Director,Director Level Administration,Conducts investigations and audits to identify areas of risk and improving compliance practices. Also responsible for ensuring their organization complies with government regulations.
70,Healthcare Ownership,Formulary Director,Director Level Administration,Oversees the list of prescription drugs that various health plans have approved for use by prescribing physicians.
70,Healthcare Ownership,Health IT Director,Director Level Administration,Oversee the planning and design of health care systems within the organization.
70,Healthcare Ownership,Human Resources Director,Director Level Administration,"Works with department managers to provide support on all personnel functions including hiring, benefits, training, equal opportunity issues, etc."
70,Healthcare Ownership,Marketing Director,Director Level Administration,"Supervises the marketing and public relations efforts of the corporation. These can include advertising, educational outreach, internal communications, etc."
70,Healthcare Ownership,Nursing Director,Director Level Administration,"Oversees the entire nursing staff, recommending and implementing policies and procedures designed to improve patient care. They also serve as an administrative liaison between the staff and other organizational departments, physicians, and administration."
70,Healthcare Ownership,Pharmacy Director,Director Level Administration,"Oversees the organization's pharmacy services and works with other departments and the medical and nursing staff to determine needs, and improve processes related to drug therapy."
70,Healthcare Ownership,Population Health Director,Director Level Administration,"Works to improve health outcomes for specific age groups, medical conditions, and location based on analyzing patterns within these specific groups."
70,Healthcare Ownership,Public Relations Director,Director Level Administration,Works to inform the public about the organizations capabilities and manages public perception about the facility.
70,Healthcare Ownership,Support Services Director,Director Level Administration,"Works with many facility support departments such as laundry, housekeeping, food service, safety, and facilities management. Provides guidance on policies and procedures as they apply to support services."
70,Healthcare Ownership,Diabetes Educator,Generic Medical,"Works with a patient to teach, coach, and guide them on how to effectively manage their diabetes."
70,Healthcare Ownership,Provider,Generic Medical,"A doctor, podiatrist, dentist, chiropractor, clinical psychologist, optometrist, nurse practitioner, nurse-midwife, or clinical social worker who is authorized by the state to practice medicine."
70,Healthcare Ownership,Revenue Cycle Manager,Other Administration,"Work with departments to overcome and resolve revenue cycle problems by working with insurance, collection agencies, and clients for prompt payments to the facility."
70,Healthcare Ownership,Board of Directors Member,Senior Administration,A member of the group of people elected to represent the interests of shareholders. This group meets regularly to set policies for management.
70,Healthcare Ownership,Chairman of the Board,Senior Administration,An elected official by the Board of Directors to oversee board meetings and help the group come to a consensus in decisions.
70,Healthcare Ownership,Chief Administrative Officer,Senior Administration,"Primary executive in charge of the corporations operations. The chief administrators actual title may be CEO, President, Vice President, etc."
70,Healthcare Ownership,Chief Executive Officer,Senior Administration,Appointed by the governing body to direct the overall management of the organization. This list includes only those administrators with the title of CEO.
70,Healthcare Ownership,Chief Financial Officer,Senior Administration,Oversees all aspects of the institution's finances from budgeting to payroll.
70,Healthcare Ownership,Chief Information Officer,Senior Administration,Responsible for technology purchases. Manages the information systems in a corporation.
70,Healthcare Ownership,Chief Medical Officer,Senior Administration,Oversees the planning and coordination of the corporation and aligns standards and policies of the medical staff and organization.
70,Healthcare Ownership,Chief Operations Officer,Senior Administration,"Responsible for the day-to-day operations of the corporation, freeing up the time of the CEO to focus on strategic and external responsibilities."
70,Healthcare Ownership,Chief Privacy Officer,Senior Administration,"Responsible for developing and managing budget, planning, and executing strategies and procedures related to privacy laws, such as HIPAA (Health Insurance Portability and Accountability Act)."
70,Healthcare Ownership,Purchasing Manager,Senior Administration,Manages the corporations inventory of products and equipment used to serve its patients. Responsible for negotiating contracts and researching new products. May also be known as a Materials Manager.
70,Healthcare Ownership,Vice President,Senior Administration,Responsible for participating in the development and implementation of a corporations mission. Reports directly to the Corporate CEO.
71,Hospital,Admissions Director,Director Level Administration,"Oversees department and designs, implements, assesses, and recommends revisions to all facets of the admissions process."
71,Hospital,Ambulatory Services Director,Director Level Administration,"Oversees ambulatory outpatient services, including day surgery, urgent care, and outpatient clinics for the facility."
71,Hospital,Biomedical Engineering Director,Director Level Administration,"Involved in designing, developing, modifying, and testing medical devices. Advises users on the proper and safe application of medical technology."
71,Hospital,Blood Bank Director,Director Level Administration,"Supervises all operations of the Blood Bank including donor recruitments. Blood Banks draw, process, store and deliver blood to hospital departments."
71,Hospital,Burn Unit Director,Director Level Administration,Supervises all operations of the Burn Care Unit including department operations and patient satisfaction.
71,Hospital,Business Office Director,Director Level Administration,"Oversees hospital billing, account management, and customer service . Ensures patient financial matters are resolved in an efficient matter."
71,Hospital,Cardiac Cath Lab Director,Director Level Administration,Oversees the cardiac catheterization laboratory staff and procedures carried out at the hospital.
71,Hospital,Case Management Director,Director Level Administration,"Oversees case managers who help people in difficult situations providing them with advice and suggestions on available services and options. The Director helps develop and implement case management programs, planning for admitting and discharge as well as working to negotiate managed care contracting."
71,Hospital,Central Supply Services Director,Director Level Administration,"Oversees the maintenance, inventory, and distribution of supplies and equipment to all hospital departments."
71,Hospital,Clinical Director of ER,Director Level Administration,Oversees the day-to-day operations of the emergency room and ensuring quality patient care.
71,Hospital,Compliance Director,Director Level Administration,Conducts investigations and audits to identify areas of risk and improving compliance practices. Also responsible for ensuring their organization complies with government regulations.
71,Hospital,Disease Management Director,Director Level Administration,"Works with a patient to teach, coach, and guide them on how to effectively manage their chronic or complex disease."
71,Hospital,DRG Coding Director,Director Level Administration,"Responsible for duties related to the prospective payments system (PPS), including early determination of the patients Diagnosis Related Group (DRG); informing the attending physician of the normal length of stay, and providing additional information from the case index management information system."
71,Hospital,Environmental Services Director,Director Level Administration,"Responsible for overseeing all housekeeping departments across all healthcare sites. They are also responsible for the waste management program, recycling, and environmental sustainability programs."
71,Hospital,Facilities Management Director,Director Level Administration,"Responsible for the physical plant of the hospital and its functionality. The director oversees maintenance, buildings and grounds services, repair, installation of equipment, troubleshooting, etc."
71,Hospital,Family Practice Director,Director Level Administration,"Coordinates the involvement of family practice within the hospital. Family practice specializes in providing, supervising, and coordinating the continuing general medical care of patients of all ages, primarily in family groups."
71,Hospital,Food Services Director,Director Level Administration,"Oversees the food service department staff as well as the planning, purchasing, and preparation of food services in a hospital for all staff, visitors, and patients."
71,Hospital,Formulary Director,Director Level Administration,Oversees the list of prescription drugs that various health plans have approved for use by prescribing physicians.
71,Hospital,Geriatric Services Director,Director Level Administration,Oversees programs that improve the care of older adults.
71,Hospital,Health IT Director,Director Level Administration,Oversee the planning and design of health care systems within the hospital.
71,Hospital,Home Healthcare Director,Director Level Administration,Manages the department that provides medical and other health services to patients at home.
71,Hospital,Hospitalist Services Director,Director Level Administration,"Oversees doctors whose primary focus is the general medical care of hospital patients. Their responsibilities include patient care, research, and leadership related to hospital care. Coordinates with patients primary care/referring physician."
71,Hospital,Housekeeping Director,Director Level Administration,Supervises housekeeping staff and is responsible for sanitizing and cleaning the hospital. They also purchase housekeeping and janitorial services and supplies.
71,Hospital,Human Resources Director,Director Level Administration,"Works with department managers to provide support on all personnel functions including hiring, benefits, training, equal opportunity issues, etc."
71,Hospital,In-Service Education Director,Director Level Administration,"Organizes classes and training sessions for internal staff members of the hospitals and ensures programs meet local, state, and federal regulations."
71,Hospital,Infection Prevention Director,Director Level Administration,"Manages the hospital's program of infection control including sanitizing, cleaning, disinfecting, decontaminating, and sterilizing medical products and devices that are essential to safe patient care and staff welfare."
71,Hospital,Intensive Care Unit Director,Director Level Administration,"Oversees all aspects of the Intensive Care Unit (ICU) including all staff, procedures, and budget. Works with other medical professionals to ensure complete care for patients."
71,Hospital,Managed Care Director,Director Level Administration,Coordinates the interactions between managed care plans and hospital policies and procedures.
71,Hospital,Marketing Director,Director Level Administration,"Supervises the marketing and public relations efforts of the hospital. These can include advertising, educational outreach, internal communications, etc."
71,Hospital,Medical Records Director,Director Level Administration,"Responsible for processing patient records, and making sure forms are completed and signed by the nurse and doctor. They may also serve as a liaison between senior management and clinical staff."
71,Hospital,Medicare/Medicaid Director,Director Level Administration,Oversees the team that works directly with the government on reimbursement policies related to Medicare/Medicaid.
71,Hospital,Neonatal Care Director,Director Level Administration,Oversees the Neonatal Intensive Care Unit (NICU) and/or Newborn Special Care units (NSCU) that specializes in caring for ill or premature newborns.
71,Hospital,Nuclear Medicine Director,Director Level Administration,"Manages the hospital department through oversight, guidance, and mentorship in the area responsible for using radioactive materials in diagnosing and treating disease."
71,Hospital,Nurse Recruiter,Director Level Administration,Works with administrators to implement strategies for nurse recruitment.
71,Hospital,Nursing Director,Director Level Administration,"Oversees the entire nursing staff, recommending and implementing policies and procedures designed to improve patient care. They also serve as an administrative liaison between the staff and other hospital departments, physicians, and administration."
71,Hospital,Operating Room Director,Director Level Administration,"Oversees all aspects of personnel, scheduling, supplies, and set-up of the operating room. They are also responsible for patient care entry through post-anesthesia care."
71,Hospital,Outpatient Services Director,Director Level Administration,Directs and implements policies and procedures for outpatient services.
71,Hospital,Patient Safety Director,Director Level Administration,Ensures that patients receive quality healthcare by working with staff to prioritize patient safety and minimize mistakes.
71,Hospital,Patient Services Director,Director Level Administration,Develops and administers policies and procedures that provide a high level of quality care and services for patients and their families.
71,Hospital,Personnel Director,Director Level Administration,Works to address any employee grievances and acquires feedback on situations that affect an employees workplace duties and relationships. They will often be an organizations spokesperson in training programs.
71,Hospital,Pharmacy Director,Director Level Administration,"Oversees the hospital's pharmacy services and works with other departments and the medical and nursing staff to determine needs, and improve processes related to drug therapy."
71,Hospital,Physical Therapy Director,Director Level Administration,"Manages all aspects of the hospital's physical therapy program including rehabilitation, patient services, etc."
71,Hospital,Physician Director of ER,Director Level Administration,"Provides overall direction and oversight to ensure high quality care is provided to Emergency Room patients. They are also responsible for evaluation, treatment, and follow-up treatment for ER patients."
