MCH Institution Type,MCH Institution Type Name,File Type,Package,Field Name,Fields in Package,Field Description
62,Fire and Ambulance,Institution,Base,Institution ID,1 Field,Institution Permanent Identification Number
62,Fire and Ambulance,Institution,Base,MCH Institution Type,1 Field,MCH Institution Type
62,Fire and Ambulance,Institution,Base,Institution Name,1 Field,The name of the institution.
62,Fire and Ambulance,Institution,Base,Mailing Address,1 Field,The mailing address of the institution.
62,Fire and Ambulance,Institution,Base,Mailing Address2,1 Field,Additional mailing address information to aid in delivery.
62,Fire and Ambulance,Institution,Base,Mailing City,1 Field,The mailing city of the institution.
62,Fire and Ambulance,Institution,Base,Mailing State,1 Field,The mailing state of the institution.
62,Fire and Ambulance,Institution,Base,Mailing Zip,1 Field,The mailing zip code of the institution.
62,Fire and Ambulance,Institution,Base,Mailing Zip4,1 Field,The mailing zip + 4 code of the institution.
62,Fire and Ambulance,Institution,Base,Mailing County FIPS,1 Field,The mailing county FIPS code of the institution.
62,Fire and Ambulance,Institution,Base,Mailing County,1 Field,The mailing county name of the institution.
62,Fire and Ambulance,Institution,Base,MSA,1 Field,The physical metropolitan statistical area code of the institution.
62,Fire and Ambulance,Institution,Base,CBSA,1 Field,The core based statistical area code of the institution.
62,Fire and Ambulance,Institution,Base,Phone Number,1 Field,The phone number of the institution.
62,Fire and Ambulance,Institution,Base,Physical Address,1 Field,The physical address of the institution.
62,Fire and Ambulance,Institution,Base,Physical Address 2,1 Field,Additional physical address information to aid in location identification.
62,Fire and Ambulance,Institution,Base,Physical City,1 Field,The physical city of the institution.
62,Fire and Ambulance,Institution,Base,Physical State,1 Field,The physical state of the institution.
62,Fire and Ambulance,Institution,Base,Physical Zip,1 Field,The physical zip code of the institution.
62,Fire and Ambulance,Institution,Base,Physical County FIPS,1 Field,The physical county FIPS code of the institution.
62,Fire and Ambulance,Institution,Base,Physical County,1 Field,The physical county name of the institution.
62,Fire and Ambulance,Institution,Base,Website URL,1 Field,URL for website related to the institution.
62,Fire and Ambulance,Institution,Base,NAICS Code-Primary,1 Field,The North American Industry Classification System code.
62,Fire and Ambulance,Institution,Base,SIC Code-Primary,1 Field,The Standard Industry Classification (SIC) code.
62,Fire and Ambulance,Institution,Base,Institution New-to-File Date,1 Field,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
62,Fire and Ambulance,Institution,Base,Local Population,1 Field,The population of the city or town.
62,Fire and Ambulance,Institution,Base,Population Score,1 Field,"A score from 1 to 10 of the population of the area, with 1 being the most populated and 10 being the least populated."
62,Fire and Ambulance,Institution,Base,Wealth Score,1 Field,Indicates the wealth score of the institution.
62,Fire and Ambulance,Institution,Base,Parent ID,1 Field,Immediate Parent PIN for the institution.
